Framework,CVE ID,Reference URLs
,CVE-1999-0070,['https://lists.apache.org/thread.html/rc5d27fc1e76dc5650e1a3f1db1de403120f4c2d041cb7352850455c2@%3Cusers.httpd.apache.org%3E']
,CVE-1999-1103,"['http://ciac.llnl.gov/ciac/bulletins/g-18.shtml', 'http://www.cert.org/vendor_bulletins/VB-96.05.dec', 'http://www.iss.net/security_center/static/7138.php', 'http://www.tao.ca/fire/bos/0209.html']"
,CVE-1999-0078,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0078']
,CVE-1999-0019,['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/135']
,CVE-1999-1314,"['ftp://ftp.FreeBSD.org/pub/FreeBSD/CERT/advisories/old/FreeBSD-SA-96:10.mount_union.asc', 'http://ciac.llnl.gov/ciac/bulletins/g-24.shtml', 'http://www.iss.net/security_center/static/7429.php']"
,CVE-1999-1313,"['ftp://ftp.FreeBSD.org/pub/FreeBSD/CERT/advisories/old/FreeBSD-SA-96:11.man.asc', 'http://ciac.llnl.gov/ciac/bulletins/g-24.shtml', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7348']"
,CVE-1999-0522,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0522']
,CVE-1999-0509,['https://exchange.xforce.ibmcloud.com/vulnerabilities/146']
,CVE-1999-1205,"['http://marc.info/?l=bugtraq&m=87602167419195&w=2', 'http://packetstormsecurity.org/advisories/ibm-ers/96-08', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/414']"
,CVE-1999-1253,"['ftp://ftp.sco.com/SSE/security_bulletins/SB.96:01a', 'http://www.cert.org/vendor_bulletins/VB-96.10.sco', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/1965']"
,CVE-1999-0138,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0138']
,CVE-1999-0175,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0175']
,CVE-1999-0022,['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/179']
,CVE-1999-0137,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0137']
,CVE-1999-1301,"['ftp://ftp.FreeBSD.org/pub/FreeBSD/CERT/advisories/old/FreeBSD-SA-96:17.rzsz.asc', 'http://ciac.llnl.gov/ciac/bulletins/g-31.shtml', 'http://www.iss.net/security_center/static/7540.php']"
,CVE-1999-1572,"['http://marc.info/?l=bugtraq&m=110763404701519&w=2', 'http://secunia.com/advisories/14357', 'http://secunia.com/advisories/17063', 'http://secunia.com/advisories/17532', 'http://support.avaya.com/elmodocs2/security/ASA-2005-212.pdf', 'http://www.debian.org/security/2005/dsa-664', 'http://www.freebsd.org/cgi/query-pr.cgi?pr=bin/1391', 'http://www.mandriva.com/security/advisories?name=MDKSA-2005:032', 'http://www.redhat.com/support/errata/RHSA-2005-073.html', 'http://www.redhat.com/support/errata/RHSA-2005-080.html', 'http://www.redhat.com/support/errata/RHSA-2005-806.html', 'http://www.trustix.org/errata/2005/0003/', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/19167', 'https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A10888']"
,CVE-1999-0023,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0023']
,CVE-1999-0135,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0135']
,CVE-1999-0136,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0136']
,CVE-1999-0335,[]
,CVE-1999-1413,"['http://marc.info/?l=bugtraq&m=87602167419549&w=2', 'http://www.securityfocus.com/bid/296']"
,CVE-1999-0134,['http://www.osvdb.org/8159']
,CVE-1999-0133,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0133']
,CVE-1999-0132,"['http://www.cert.org/advisories/CA-1996-19.html', 'http://www.osvdb.org/11723', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/401']"
,CVE-1999-0085,"['https://exchange.xforce.ibmcloud.com/vulnerabilities/118', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/119']"
,CVE-1999-1187,"['http://marc.info/?l=bugtraq&m=87602167419803&w=2', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/416']"
,CVE-1999-1309,"['http://www.cert.org/advisories/CA-94.12.sendmail.vulnerabilities', 'http://www.dataguard.no/bugtraq/1994_1/0040.html', 'http://www.dataguard.no/bugtraq/1994_1/0042.html', 'http://www.dataguard.no/bugtraq/1994_1/0043.html', 'http://www.dataguard.no/bugtraq/1994_1/0048.html', 'http://www.dataguard.no/bugtraq/1994_1/0078.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7155']"
,CVE-1999-0324,['http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9702-053']
,CVE-1999-1252,"['ftp://ftp.sco.COM/SSE/security_bulletins/SB.96:02a', 'http://www.cert.org/vendor_bulletins/VB-96.15.sco', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/1966']"
,CVE-1999-0131,['http://www.securityfocus.com/bid/717']
,CVE-1999-1383,"['http://marc.info/?l=bugtraq&m=87602167419868&w=2', 'http://www.dataguard.no/bugtraq/1996_3/0503.html']"
,CVE-1999-1295,"['http://www.cert.org/vendor_bulletins/VB-96.16.transarc', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7154']"
